test,event,donor,n_patch,baseline_pred,patched_pred,success_to_Hqql,flip,delta_margin,target_p0_pid,donor_p0_pid
3A_real_hqql_hadron,15860,14869,8,label_Tbl,label_Hqql,1,1,1.0697098970413208,photon,electron
3A_control_qcd_hadron,15860,36679,8,label_Tbl,label_Hqql,1,1,2.3469419479370117,photon,photon
3A_real_hqql_hadron,15876,14533,8,label_Tbl,label_Hqql,1,1,3.631003499031067,muon,photon
3A_control_qcd_hadron,15876,33053,8,label_Tbl,label_Tbl,0,0,-0.6758878231048584,muon,photon
3A_real_hqql_hadron,15893,13626,8,label_Tbl,label_Tbl,0,0,1.0781933069229126,electron,muon
3A_control_qcd_hadron,15893,34871,8,label_Tbl,label_QCD,0,1,0.9538751840591431,electron,neutral_hadron
3A_real_hqql_hadron,15896,15711,8,label_Tbl,label_Hqql,1,1,1.2866209745407104,muon,photon
3A_control_qcd_hadron,15896,34752,8,label_Tbl,label_Hqql,1,1,1.3355107307434082,muon,photon
3A_real_hqql_hadron,15900,13966,8,label_Tbl,label_Hqql,1,1,4.361886024475098,electron,electron
3A_control_qcd_hadron,15900,34171,8,label_Tbl,label_QCD,0,1,3.1011033058166504,electron,neutral_hadron
3A_real_hqql_hadron,15930,14179,8,label_Tbl,label_Tbl,0,0,0.3060239553451538,electron,charged_hadron
3A_control_qcd_hadron,15930,34448,8,label_Tbl,label_Tbl,0,0,0.48493242263793945,electron,photon
3A_real_hqql_hadron,15951,15219,8,label_Tbl,label_Tbl,0,0,3.051036238670349,muon,electron
3A_control_qcd_hadron,15951,34591,8,label_Tbl,label_QCD,0,1,6.397619724273682,muon,neutral_hadron
3A_real_hqql_hadron,15958,14659,8,label_Tbl,label_Hqql,1,1,0.6795554161071777,electron,neutral_hadron
3A_control_qcd_hadron,15958,36167,8,label_Tbl,label_Hqql,1,1,0.9133704900741577,electron,charged_hadron
3A_real_hqql_hadron,15964,14404,8,label_Tbl,label_Tbl,0,0,2.1108678579330444,muon,muon
3A_control_qcd_hadron,15964,33834,8,label_Tbl,label_Hqql,1,1,2.674025774002075,muon,charged_hadron
3A_real_hqql_hadron,15985,12327,8,label_Tbl,label_Hqql,1,1,3.3440970480442047,electron,charged_hadron
3A_control_qcd_hadron,15985,34378,8,label_Tbl,label_Hqql,1,1,3.2848163843154907,electron,charged_hadron
3A_real_hqql_hadron,15986,12510,8,label_Tbl,label_Hqql,1,1,1.4511975049972534,electron,electron
3A_control_qcd_hadron,15986,36252,8,label_Tbl,label_Hqql,1,1,4.4603904485702515,electron,charged_hadron
3A_real_hqql_hadron,15987,15132,8,label_Tbl,label_Hqql,1,1,8.507216930389404,electron,photon
3A_control_qcd_hadron,15987,35329,8,label_Tbl,label_Hqql,1,1,5.421681880950928,electron,photon
3A_real_hqql_hadron,15994,12496,8,label_Tbl,label_Hqql,1,1,2.2778806686401367,muon,muon
3A_control_qcd_hadron,15994,36717,8,label_Tbl,label_Tbl,0,0,-0.3389185667037964,muon,charged_hadron
3A_real_hqql_hadron,16038,16113,8,label_Tbl,label_Hqql,1,1,2.6990491151809692,muon,neutral_hadron
3A_control_qcd_hadron,16038,33695,8,label_Tbl,label_Hqql,1,1,3.476001262664795,muon,charged_hadron
3A_real_hqql_hadron,16048,13999,8,label_Tbl,label_Hqql,1,1,2.8886187076568604,charged_hadron,electron
3A_control_qcd_hadron,16048,36096,8,label_Tbl,label_Hqql,1,1,1.818023920059204,charged_hadron,charged_hadron
3A_real_hqql_hadron,16051,13413,8,label_Tbl,label_Hqql,1,1,0.7970893383026123,electron,muon
3A_control_qcd_hadron,16051,33632,8,label_Tbl,label_QCD,0,1,-0.5519106388092041,electron,charged_hadron
3A_real_hqql_hadron,16052,14274,8,label_Tbl,label_Hbb,0,1,2.253029704093933,photon,electron
3A_control_qcd_hadron,16052,35911,8,label_Tbl,label_Hqql,1,1,2.99023973941803,photon,photon
3A_real_hqql_hadron,16072,14624,8,label_Tbl,label_Hqql,1,1,5.9447572231292725,muon,electron
3A_control_qcd_hadron,16072,35398,8,label_Tbl,label_Tbl,0,0,3.1428449153900146,muon,charged_hadron
3A_real_hqql_hadron,16084,13742,8,label_Tbl,label_Tbl,0,0,0.8199957609176636,muon,neutral_hadron
3A_control_qcd_hadron,16084,33143,8,label_Tbl,label_Hqql,1,1,2.260062336921692,muon,photon
3A_real_hqql_hadron,16095,15183,8,label_Tbl,label_Hqql,1,1,2.202254056930542,electron,muon
3A_control_qcd_hadron,16095,35327,8,label_Tbl,label_QCD,0,1,1.5109574794769287,electron,charged_hadron
3A_real_hqql_hadron,16108,15274,8,label_Tbl,label_Hqql,1,1,2.9152930974960327,muon,electron
3A_control_qcd_hadron,16108,34686,8,label_Tbl,label_Hqql,1,1,0.9627631902694702,muon,charged_hadron
3A_real_hqql_hadron,16130,15712,8,label_Tbl,label_Tbl,0,0,-2.4133081436157227,muon,electron
3A_control_qcd_hadron,16130,33331,8,label_Tbl,label_QCD,0,1,0.0022602081298828125,muon,charged_hadron
3A_real_hqql_hadron,16159,15374,8,label_Tbl,label_Hqql,1,1,2.6782119274139404,muon,electron
3A_control_qcd_hadron,16159,34570,8,label_Tbl,label_Hqql,1,1,1.1938791275024414,muon,charged_hadron
3A_real_hqql_hadron,16185,16271,8,label_Tbl,label_Tbl,0,0,-0.3250834047794342,neutral_hadron,charged_hadron
3A_control_qcd_hadron,16185,35761,8,label_Tbl,label_Hqql,1,1,0.525635153055191,neutral_hadron,charged_hadron
3A_real_hqql_hadron,16227,13131,8,label_Tbl,label_Hqql,1,1,6.902459144592285,electron,charged_hadron
3A_control_qcd_hadron,16227,36614,8,label_Tbl,label_Hqql,1,1,3.5558884143829346,electron,photon
3A_real_hqql_hadron,16260,14424,8,label_Tbl,label_Tbl,0,0,-1.209017038345337,photon,photon
3A_control_qcd_hadron,16260,35236,8,label_Tbl,label_Hqql,1,1,0.6201357841491699,photon,charged_hadron
3A_real_hqql_hadron,16267,14771,8,label_Tbl,label_Hqql,1,1,4.140900671482086,charged_hadron,muon
3A_control_qcd_hadron,16267,34628,8,label_Tbl,label_QCD,0,1,-4.154199540615082,charged_hadron,charged_hadron
